geneSymbol	diseaseName
NAT2	Carcinoma of bladder
NAT2	Malignant neoplasm of kidney
NAT2	Premenopausal breast cancer
NAT2	Adult Acute Lymphocytic Leukemia
NAT2	Malignant Squamous Cell Neoplasm
NAT2	Malignant Pleural Mesothelioma
NAT2	ovarian neoplasm
NAT2	Polyp of large intestine
NAT2	Malignant neoplasm of ovary
NAT2	Mammary Neoplasms, Human
NAT2	Adenoma of large intestine
NAT2	Primary malignant neoplasm of lung
NAT2	Adenocarcinoma of large intestine
NAT2	Adult Lymphoma
NAT2	Asbestos-Related Malignant Mesothelioma
NAT2	Childhood Leukemia
NAT2	Childhood Lymphoma
NAT2	Hereditary Nonpolyposis Colorectal Cancer
NAT2	Differentiated Thyroid Gland Carcinoma
NAT2	Renal carcinoma
NAT2	Hepatocarcinogenesis
NAT2	Glioblastoma Multiforme
NAT2	Meningioma, benign, no ICD-O subtype
NAT2	Carcinoma of urinary bladder, invasive
NAT2	Precursor Cell Lymphoblastic Leukemia Lymphoma
NAT2	Liver carcinoma
NAT2	Oropharyngeal Carcinoma
NAT2	Luminal B Breast Carcinoma
NAT2	Head and Neck Carcinoma
NAT2	cervical cancer
NAT2	Infant Leukemia
NAT2	Childhood Astrocytoma
NAT2	Stage 0 Gallbladder Cancer AJCC v8
NAT2	Stage IIA Gallbladder Cancer AJCC v8
NAT2	Stage IIB Gallbladder Cancer AJCC v8
NAT2	Stage III Gallbladder Cancer AJCC v8
NAT2	Stage IV Gallbladder Cancer AJCC v8
NAT2	Mammary Carcinoma, Human
NAT2	Lymphoma, Non-Hodgkin, Familial
NAT2	Carcinoma, Ovarian Epithelial
NAT2	Malignant neoplasm of colon and/or rectum
NAT2	Primary differentiated carcinoma of thyroid gland
SERPINA3	Anaplasia
SERPINA3	Malignant neoplasm of breast
SERPINA3	Malignant tumor of colon
SERPINA3	Malignant neoplasm of endometrium
SERPINA3	Non-Small Cell Lung Carcinoma
SERPINA3	Renal Cell Carcinoma
SERPINA3	Glioblastoma
SERPINA3	Glioma
SERPINA3	melanoma
SERPINA3	Cutaneous Melanoma
SERPINA3	Adrenocortical carcinoma
SERPINA3	Gastrointestinal Carcinoid Tumor
SERPINA3	Adult Liver Carcinoma
SERPINA3	Pancreatic carcinoma
SERPINA3	Carcinoma breast stage IV
SERPINA3	Adult Glioblastoma
SERPINA3	Liver and Intrahepatic Biliary Tract Carcinoma
SERPINA3	Squamous cell carcinoma of esophagus
SERPINA3	Conventional (Clear Cell) Renal Cell Carcinoma
SERPINA3	Childhood Glioblastoma
SERPINA3	Cervix carcinoma
SERPINA3	Malignant Fibrous Histiocytoma
SERPINA3	Malignant neoplasm of liver
SERPINA3	Malignant neoplasm of adrenal cortex
SERPINA3	Malignant neoplasm of pancreas
SERPINA3	Malignant neoplasm of prostate
SERPINA3	Adamantinous Craniopharyngioma
SERPINA3	Endometrial Carcinoma
SERPINA3	Secondary malignant neoplasm of liver
SERPINA3	Prostate carcinoma
SERPINA3	Stage III Colorectal Cancer
SERPINA3	Breast Carcinoma
SERPINA3	Colon Carcinoma
SERPINA3	ovarian neoplasm
SERPINA3	Malignant neoplasm of ovary
SERPINA3	Squamous cell carcinoma of the head and neck
SERPINA3	Glioblastoma Multiforme
SERPINA3	Stage IIA Colon Cancer AJCC v7
SERPINA3	Liver carcinoma
SERPINA3	Stage III Colorectal Cancer AJCC v7
SERPINA3	Stage IIA Colon Cancer AJCC v8
SERPINA3	Secondary malignant neoplasm of colon and/or rectum
SERPINA3	Carcinoma, Ovarian Epithelial
SERPINA3	malignant neoplasm of large intestine stage IIa
AADAC	Malignant neoplasm of urinary bladder
AADAC	Bladder Neoplasm
AADAC	Malignant neoplasm of breast
AADAC	Malignant tumor of colon
AADAC	Renal Cell Carcinoma
AADAC	Acute monocytic leukemia
AADAC	Leukemia, Myelocytic, Acute
AADAC	melanoma
AADAC	Neuroblastoma
AADAC	Osteosarcoma
AADAC	Rhabdomyosarcoma
AADAC	Malignant neoplasm of testis
AADAC	Cholangiocarcinoma
AADAC	Childhood Rhabdomyosarcoma
AADAC	Malignant neoplasm of lung
AADAC	Adult Rhabdomyosarcoma
AADAC	Squamous cell carcinoma of esophagus
AADAC	Conventional (Clear Cell) Renal Cell Carcinoma
AADAC	Osteosarcoma of bone
AADAC	Breast Carcinoma
AADAC	Carcinoma of lung
AADAC	Colon Carcinoma
AADAC	Carcinoma of bladder
AADAC	Central neuroblastoma
AADAC	Chronic myeloproliferative disorder
AADAC	Primary malignant neoplasm of lung
AADAC	Childhood Osteosarcoma
AADAC	Liver carcinoma
AADAC	Childhood Neuroblastoma
AAMP	Malignant neoplasm of breast
AAMP	Noninfiltrating Intraductal Carcinoma
AAMP	Non-Small Cell Lung Carcinoma
AAMP	Malignant neoplasm of lung
AAMP	Breast Carcinoma
AAMP	Carcinoma of lung
AAMP	Primary malignant neoplasm of lung
AAMP	Grade 3 Colon Adenocarcinoma
AANAT	Malignant neoplasm of breast
AANAT	Colorectal Carcinoma
AANAT	melanoma
AANAT	Retinoblastoma
AANAT	Breast Carcinoma
AANAT	Malignant neoplasm of colon and/or rectum
AARS1	Malignant neoplasm of breast
AARS1	Breast Carcinoma
AAVS1	Glioblastoma
AAVS1	Glioma
AAVS1	Osteosarcoma
AAVS1	Teratoma
AAVS1	Adult Glioblastoma
AAVS1	Childhood Glioblastoma
AAVS1	Osteosarcoma of bone
AAVS1	Epithelial ovarian cancer
AAVS1	Childhood Osteosarcoma
AAVS1	Glioblastoma Multiforme
AAVS1	Liver carcinoma
AAVS1	Carcinoma, Ovarian Epithelial
ABAT	Secondary malignant neoplasm of lung
ABAT	Childhood Myelodysplastic Syndrome
ABAT	Basal-Like Breast Carcinoma
ABAT	Adult Myelodysplastic Syndrome
ABCA1	Malignant neoplasm of breast
ABCA1	Malignant tumor of colon
ABCA1	Non-Small Cell Lung Carcinoma
ABCA1	Colorectal Carcinoma
ABCA1	Glioblastoma
ABCA1	Glioma
ABCA1	melanoma
ABCA1	Mesothelioma
ABCA1	Neuroblastoma
ABCA1	Osteosarcoma
ABCA1	Adenocarcinoma of lung (disorder)
ABCA1	Hepatoblastoma
ABCA1	Malignant neoplasm of lung
ABCA1	Adult Glioblastoma
ABCA1	Childhood Glioblastoma
ABCA1	Malignant neoplasm of liver
ABCA1	Malignant neoplasm of prostate
ABCA1	Osteosarcoma of bone
ABCA1	Prostate carcinoma
ABCA1	Breast Carcinoma
ABCA1	Carcinoma of lung
ABCA1	Colon Carcinoma
ABCA1	Central neuroblastoma
ABCA1	Chronic myeloproliferative disorder
ABCA1	Primary malignant neoplasm of lung
ABCA1	Childhood Osteosarcoma
ABCA1	Glioblastoma Multiforme
ABCA1	Liver carcinoma
ABCA1	Hepatoblastoma Caused By Somatic Mutation
ABCA1	Nasopharyngeal carcinoma
ABCA1	Triple Negative Breast Neoplasms
ABCA1	Childhood Neuroblastoma
ABCA1	Hamster Melanoma
ABCA1	Malignant neoplasm of colon and/or rectum
ABCA1	Triple-Negative Breast Carcinoma
ABCA2	Childhood Acute Lymphoblastic Leukemia
ABCA2	Meningioma
ABCA2	Mesothelioma
ABCA2	Neurilemmoma
ABCA2	Neuroblastoma
ABCA2	Acoustic Neuroma
ABCA2	Small cell carcinoma of lung
ABCA2	Malignant neoplasm of brain
ABCA2	Adult Meningioma
ABCA2	Prostate carcinoma
ABCA2	Epithelial ovarian cancer
ABCA2	Central neuroblastoma
ABCA2	Meningioma, benign, no ICD-O subtype
ABCA2	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABCA2	Low grade glioma
ABCA2	Liver carcinoma
ABCA2	Childhood Neuroblastoma
ABCA2	Carcinoma, Ovarian Epithelial
ABCA3	Malignant neoplasm of breast
ABCA3	Non-Small Cell Lung Carcinoma
ABCA3	Colorectal Carcinoma
ABCA3	Acute lymphocytic leukemia
ABCA3	Childhood Acute Lymphoblastic Leukemia
ABCA3	Leukemia, Myelocytic, Acute
ABCA3	Myeloid Leukemia, Chronic
ABCA3	Acoustic Neuroma
ABCA3	Adenocarcinoma of lung (disorder)
ABCA3	Childhood Acute Myeloid Leukemia
ABCA3	Malignant neoplasm of lung
ABCA3	Carcinoma of lung
ABCA3	Adult Acute Lymphocytic Leukemia
ABCA3	Primary malignant neoplasm of lung
ABCA3	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABCB7	Malignant neoplasm of breast
ABCB7	Carcinoma breast stage IV
ABCB7	Breast Carcinoma
ABCB7	Refractory anemia with ringed sideroblasts
ABCF1	Colorectal Carcinoma
ABCF1	Adenocarcinoma of lung (disorder)
ABCF1	Malignant neoplasm of lung
ABCF1	Breast Carcinoma
ABCF1	Liver carcinoma
ABCF1	Malignant neoplasm of colon and/or rectum
ABCA4	Malignant neoplasm of breast
ABCA4	Non-Small Cell Lung Carcinoma
ABCA4	Squamous cell carcinoma
ABCA4	Malignant tumor of cervix
ABCA4	Colorectal Carcinoma
ABCA4	Glioma
ABCA4	Hamartoma
ABCA4	Myeloid Leukemia, Chronic
ABCA4	Retinoblastoma
ABCA4	Tuberous Sclerosis
ABCA4	Small cell carcinoma of lung
ABCA4	Esophageal carcinoma
ABCA4	Cystadenocarcinoma, Serous
ABCA4	gliosarcoma
ABCA4	Pancreatic carcinoma
ABCA4	Malignant neoplasm of lung
ABCA4	Cervix carcinoma
ABCA4	Malignant neoplasm of pancreas
ABCA4	Endometrial Carcinoma
ABCA4	Malignant neoplasm of esophagus
ABCA4	Breast Carcinoma
ABCA4	Carcinoma of lung
ABCA4	ovarian neoplasm
ABCA4	Malignant neoplasm of ovary
ABCA4	Primary malignant neoplasm of lung
ABCA4	Progression of prostate cancer
ABCA4	Liver carcinoma
ABCA4	Retinal astrocytic hamartoma
ABCA4	cervical cancer
ABCA4	Carcinoma, Ovarian Epithelial
ABCA4	Malignant neoplasm of colon and/or rectum
ABL1	Primary Myelofibrosis
ABL1	Blast Phase
ABL1	Malignant neoplasm of breast
ABL1	Burkitt Lymphoma
ABL1	Non-Small Cell Lung Carcinoma
ABL1	Carcinoma, Papillary
ABL1	Malignant tumor of cervix
ABL1	Colorectal Carcinoma
ABL1	Glioblastoma
ABL1	Hodgkin Disease
ABL1	Kidney Neoplasm
ABL1	leukemia
ABL1	Chronic Lymphocytic Leukemia
ABL1	Acute Erythroblastic Leukemia
ABL1	Hairy Cell Leukemia
ABL1	Lymphoid leukemia
ABL1	Acute lymphocytic leukemia
ABL1	Childhood Acute Lymphoblastic Leukemia
ABL1	L2 Acute Lymphoblastic Leukemia
ABL1	Acute Megakaryocytic Leukemias
ABL1	Acute biphenotypic leukemia
ABL1	Acute monocytic leukemia
ABL1	Leukemia, Myelocytic, Acute
ABL1	Myeloid Leukemia
ABL1	Leukemia, Myeloid, Accelerated Phase
ABL1	Myeloid Leukemia, Chronic
ABL1	Leukemia, Myeloid, Chronic-Phase
ABL1	Acute myelomonocytic leukemia
ABL1	Leukemia, Myelomonocytic, Chronic
ABL1	Chronic Neutrophilic Leukemia
ABL1	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
ABL1	Acute Promyelocytic Leukemia
ABL1	Adult T-Cell Lymphoma/Leukemia
ABL1	Lymphoma, Follicular
ABL1	Malignant neoplasm of stomach
ABL1	melanoma
ABL1	Multiple Myeloma
ABL1	Myelofibrosis
ABL1	Nephroblastoma
ABL1	Ovarian Carcinoma
ABL1	Plasmacytoma
ABL1	Polycythemia Vera
ABL1	Retinoblastoma
ABL1	Sezary Syndrome
ABL1	Thymoma
ABL1	Tuberous Sclerosis
ABL1	Acute leukemia
ABL1	Rous Sarcoma
ABL1	Adenocarcinoma of lung (disorder)
ABL1	Esophageal carcinoma
ABL1	Secondary malignant neoplasm of bone
ABL1	Adenocarcinoma, Basal Cell
ABL1	Adenocarcinoma, Oxyphilic
ABL1	Carcinoma, Cribriform
ABL1	Carcinoma, Granular Cell
ABL1	Adenocarcinoma, Tubular
ABL1	Endometrial Stromal Sarcoma
ABL1	Embryonal Carcinoma
ABL1	Angiofibroma
ABL1	Childhood Acute Myeloid Leukemia
ABL1	Metastatic malignant neoplasm to brain
ABL1	Papillary thyroid carcinoma
ABL1	Malignant neoplasm of lung
ABL1	Mucosa-Associated Lymphoid Tissue Lymphoma
ABL1	Carcinoma, Small Cell
ABL1	Carcinoma breast stage IV
ABL1	Recurrent Childhood Acute Lymphoblastic Leukemia
ABL1	Adult Burkitt Lymphoma
ABL1	Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive
ABL1	Adult Glioblastoma
ABL1	Childhood Burkitt Lymphoma
ABL1	Philadelphia chromosome positive chronic myelogenous leukemia
ABL1	Philadelphia chromosome negative chronic myelogenous leukemia
ABL1	Childhood Burkitt Leukemia
ABL1	Childhood T Acute Lymphoblastic Leukemia
ABL1	Childhood B Acute Lymphoblastic Leukemia
ABL1	Adult Burkitt Leukemia
ABL1	Adult T Acute Lymphoblastic Leukemia
ABL1	Adult B Acute Lymphoblastic Leukemia
ABL1	Adult Acute Myelomonocytic Leukemia
ABL1	Adenocarcinoma Of Esophagus
ABL1	Adult Acute Megakaryoblastic Leukemia
ABL1	Childhood Acute Myelomonocytic Leukemia
ABL1	Childhood Acute Megakaryoblastic Leukemia
ABL1	Acute Undifferentiated Leukemia
ABL1	secondary acute myeloid leukemia
ABL1	Childhood Glioblastoma
ABL1	Condition, Preneoplastic
ABL1	Cervix carcinoma
ABL1	Malignant neoplasm of liver
ABL1	Large cell carcinoma of lung
ABL1	Chronic eosinophilic leukemia
ABL1	Squamous cell carcinoma of tongue
ABL1	Pre B-cell acute lymphoblastic leukemia
ABL1	Common acute lymphoblastic leukemia
ABL1	Juvenile Myelomonocytic Leukemia
ABL1	Malignant neoplasm of prostate
ABL1	Enteropathy-Associated T-Cell Lymphoma
ABL1	Malignant neoplasm of esophagus
ABL1	Thyroid carcinoma
ABL1	Leukemogenesis
ABL1	Lymphoid neoplasm
ABL1	Prostate carcinoma
ABL1	Breast Carcinoma
ABL1	Carcinoma of lung
ABL1	Colon Carcinoma
ABL1	Stomach Carcinoma
ABL1	Leptomeningeal Neoplasms
ABL1	Adult Acute Lymphocytic Leukemia
ABL1	Perineurioma
ABL1	Leukemia secondary
ABL1	Precursor B-lymphoblastic lymphoma/leukemia
ABL1	Leukaemia recurrent
ABL1	Malignant neoplasm of ovary
ABL1	Mammary Neoplasms, Human
ABL1	Chronic leukemia (category)
ABL1	Precursor T-cell lymphoblastic lymphoma
ABL1	Precursor B-cell lymphoblastic leukemia
ABL1	Chronic myelogenous leukemia, BCR/ABL positive
ABL1	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
ABL1	Chronic myeloproliferative disorder
ABL1	Primary malignant neoplasm of lung
ABL1	Childhood Chronic Myelogenous Leukemia, BCR-ABL1 Positive
ABL1	Adult Lymphoma
ABL1	Childhood Hematopoietic Neoplasm
ABL1	Childhood Leukemia
ABL1	Childhood Lymphoma
ABL1	Childhood Kidney Wilms Tumor
ABL1	Thymic Lymphoma
ABL1	Papillary renal cell carcinoma type 2
ABL1	Soft tissue perineurioma
ABL1	Intraneural perineurioma
ABL1	Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive
ABL1	Undifferentiated leukemia
ABL1	Glioblastoma Multiforme
ABL1	Hereditary Leiomyomatosis and Renal Cell Cancer
ABL1	B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
ABL1	CML progression
ABL1	MYELOPROLIFERATIVE SYNDROME, TRANSIENT
ABL1	Familial primary gastric lymphoma
ABL1	Acute lymphoblastic leukemia with lymphomatous features
ABL1	B-CELL MALIGNANCY, LOW-GRADE
ABL1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABL1	Precursor Cell Lymphoblastic Leukemia Lymphoma
ABL1	Leukemia, B-Cell
ABL1	Childhood B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
ABL1	Adult Erythroleukemia
ABL1	Adult Pure Erythroid Leukemia
ABL1	Childhood Myelodysplastic Syndrome
ABL1	T-Cell Prolymphocytic Leukemia
ABL1	Mixed phenotype acute leukemia
ABL1	Chronic myeloid leukemia, BCR/ABL-positive
ABL1	Nasopharyngeal carcinoma
ABL1	Myeloid neoplasm
ABL1	Triple Negative Breast Neoplasms
ABL1	MIXED LINEAGE LEUKEMIA
ABL1	Liquid Tumor
ABL1	Adult Pre-B Acute Lymphoblastic Leukemia
ABL1	Adult Myelodysplastic Syndrome
ABL1	cervical cancer
ABL1	Renal medullary carcinoma
ABL1	Ph-Like Acute Lymphoblastic Leukemia
ABL1	Tubulocystic renal cell carcinoma
ABL1	Infant Acute Undifferentiated Leukemia
ABL1	Infant Acute Biphenotypic Leukemia
ABL1	B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative
ABL1	B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like
ABL1	Erythroleukemia (Erythroid/Myeloid)
ABL1	Pure Erythroid Leukemia
ABL1	Mammary Carcinoma, Human
ABL1	Juvenile angiofibroma
ABL1	Mantle cell lymphoma
ABL1	Burkitt Leukemia
ABL1	Intestinal T-Cell Lymphoma
ABL1	Sarcoma, Myeloid
ABL1	Carcinoma, Ovarian Epithelial
ABL1	Malignant neoplasm of colon and/or rectum
ABL1	Triple-Negative Breast Carcinoma
AOC1	Malignant neoplasm of urinary bladder
AOC1	Bladder Neoplasm
AOC1	Malignant neoplasm of breast
AOC1	Clear Cell Sarcoma of Soft Tissue
AOC1	Hepatocellular Adenoma
AOC1	Breast Carcinoma
AOC1	Carcinoma of bladder
AOC1	Hepatocarcinogenesis
AOC1	Familial medullary thyroid carcinoma
AOC1	HER2-positive carcinoma of breast
ABL2	Malignant neoplasm of breast
ABL2	Burkitt Lymphoma
ABL2	leukemia
ABL2	Leukemia, Myelocytic, Acute
ABL2	Myeloid Leukemia
ABL2	Myeloid Leukemia, Chronic
ABL2	Acute Promyelocytic Leukemia
ABL2	Lymphoma, Follicular
ABL2	Malignant neoplasm of stomach
ABL2	Diffuse Large B-Cell Lymphoma
ABL2	Squamous cell carcinoma of lung
ABL2	Adenocarcinoma of lung (disorder)
ABL2	Metastatic malignant neoplasm to brain
ABL2	Adult Burkitt Lymphoma
ABL2	Childhood Burkitt Lymphoma
ABL2	Conventional (Clear Cell) Renal Cell Carcinoma
ABL2	Cervix carcinoma
ABL2	Hyperplastic Polyp
ABL2	Malignant neoplasm of prostate
ABL2	Leukemogenesis
ABL2	Prostate carcinoma
ABL2	Breast Carcinoma
ABL2	Stomach Carcinoma
ABL2	Hormone refractory prostate cancer
ABL2	Adult Diffuse Large B-Cell Lymphoma
ABL2	Childhood Leukemia
ABL2	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABL2	Liver carcinoma
ABO	Malignant neoplasm of urinary bladder
ABO	Bladder Neoplasm
ABO	Malignant neoplasm of breast
ABO	Malignant neoplasm of endometrium
ABO	Rectal Carcinoma
ABO	Malignant neoplasm of skin
ABO	Malignant neoplasm of thyroid
ABO	Squamous cell carcinoma
ABO	Carcinoma, Transitional Cell
ABO	Choriocarcinoma
ABO	Colorectal Carcinoma
ABO	Glioblastoma
ABO	Hydatidiform Mole
ABO	leukemia
ABO	Chronic Lymphocytic Leukemia
ABO	Acute lymphocytic leukemia
ABO	Childhood Acute Lymphoblastic Leukemia
ABO	Acute monocytic leukemia
ABO	Leukemia, Myelocytic, Acute
ABO	Myeloid Leukemia, Chronic
ABO	Acute Promyelocytic Leukemia
ABO	Malignant neoplasm of stomach
ABO	Multiple Endocrine Neoplasia Type 1
ABO	Multiple Endocrine Neoplasia Type 2a
ABO	Multiple Myeloma
ABO	Pancreatic Neoplasm
ABO	Thyroid Neoplasm
ABO	Tuberous Sclerosis
ABO	Diffuse Large B-Cell Lymphoma
ABO	T-Cell Lymphoma
ABO	Acute leukemia
ABO	Esophageal carcinoma
ABO	Angiomyolipoma
ABO	Neuroectodermal Tumor, Primitive
ABO	Lip and Oral Cavity Carcinoma
ABO	Pancreatic carcinoma
ABO	Angiomyolipoma of kidney
ABO	Islet Cell Tumor
ABO	Malignant neoplasm of lung
ABO	Stage III Colon Cancer
ABO	Metastatic Renal Cell Cancer
ABO	Adult Glioblastoma
ABO	Childhood Hepatocellular Carcinoma
ABO	Adult Hepatocellular Carcinoma
ABO	Squamous cell carcinoma of esophagus
ABO	Childhood Glioblastoma
ABO	bilateral breast cancer
ABO	Hyperplastic Polyp
ABO	Multiple adenomatous polyps
ABO	Malignant neoplasm of liver
ABO	Malignant neoplasm of pancreas
ABO	Malignant tumor of exocrine pancreas
ABO	Malignant neoplasm of vulva
ABO	Malignant neoplasm of prostate
ABO	Nasal Type Extranodal NK/T-Cell Lymphoma
ABO	Post-transplant lymphoproliferative disorder
ABO	Endometrial Carcinoma
ABO	Malignant neoplasm of esophagus
ABO	Thyroid carcinoma
ABO	Prostate carcinoma
ABO	CARCINOMA OF VULVA
ABO	Epithelial ovarian cancer
ABO	Breast Carcinoma
ABO	Carcinoma of lung
ABO	Ewings sarcoma-primitive neuroectodermal tumor (PNET)
ABO	Malignant neoplasm of gastrointestinal tract
ABO	Stomach Carcinoma
ABO	Carcinoma of bladder
